date,time,open,high,low,close,vwap,volume,count
2021-09-24 05:12:00,1632460320,460.54,460.54,460.54,460.54,0.0,0.0,0
2021-09-24 05:13:00,1632460380,460.54,460.54,460.54,460.54,0.0,0.0,0
2021-09-24 05:14:00,1632460440,460.67,460.67,460.67,460.67,460.67,0.0648117,1
2021-09-24 05:15:00,1632460500,460.54,460.54,459.96,459.96,460.48,0.10756571,4
2021-09-24 05:16:00,1632460560,459.56,459.56,459.49,459.49,459.54,1.32980322,3
2021-09-24 05:17:00,1632460620,459.49,459.49,459.49,459.49,0.0,0.0,0
2021-09-24 05:18:00,1632460680,459.49,459.49,459.49,459.49,0.0,0.0,0
2021-09-24 05:19:00,1632460740,459.89,459.89,459.89,459.89,459.89,0.108201,1
2021-09-24 05:20:00,1632460800,459.89,459.89,459.89,459.89,0.0,0.0,0
2021-09-24 05:21:00,1632460860,459.89,459.89,459.89,459.89,0.0,0.0,0
2021-09-24 05:22:00,1632460920,459.98,459.98,459.98,459.98,459.98,0.90026605,1
2021-09-24 05:23:00,1632460980,459.6,459.6,459.6,459.6,459.6,0.07557099,1
2021-09-24 05:24:00,1632461040,459.62,459.62,459.62,459.62,459.62,0.53429182,1
2021-09-24 05:25:00,1632461100,459.62,459.62,459.62,459.62,0.0,0.0,0
2021-09-24 05:26:00,1632461160,459.62,459.62,459.62,459.62,0.0,0.0,0
2021-09-24 05:27:00,1632461220,459.62,459.62,459.62,459.62,0.0,0.0,0
2021-09-24 05:28:00,1632461280,459.62,459.62,459.62,459.62,0.0,0.0,0
2021-09-24 05:29:00,1632461340,459.62,459.62,459.62,459.62,0.0,0.0,0
2021-09-24 05:30:00,1632461400,459.62,459.62,459.62,459.62,0.0,0.0,0
2021-09-24 05:31:00,1632461460,459.27,459.27,459.27,459.27,459.27,0.32416481,1
2021-09-24 05:32:00,1632461520,459.27,459.27,459.27,459.27,0.0,0.0,0
2021-09-24 05:33:00,1632461580,459.27,459.27,459.27,459.27,0.0,0.0,0
2021-09-24 05:34:00,1632461640,459.27,459.27,459.27,459.27,0.0,0.0,0
2021-09-24 05:35:00,1632461700,459.27,459.27,459.27,459.27,0.0,0.0,0
2021-09-24 05:36:00,1632461760,460.69,460.69,460.69,460.69,460.69,0.12932804,1
2021-09-24 05:37:00,1632461820,460.69,460.69,460.69,460.69,0.0,0.0,0
2021-09-24 05:38:00,1632461880,460.69,460.69,460.69,460.69,0.0,0.0,0
2021-09-24 05:39:00,1632461940,460.69,460.69,460.69,460.69,0.0,0.0,0
2021-09-24 05:40:00,1632462000,460.69,460.69,460.69,460.69,0.0,0.0,0
2021-09-24 05:41:00,1632462060,460.69,460.69,460.69,460.69,0.0,0.0,0
2021-09-24 05:42:00,1632462120,460.69,460.69,460.69,460.69,0.0,0.0,0
2021-09-24 05:43:00,1632462180,460.69,460.69,460.69,460.69,0.0,0.0,0
2021-09-24 05:44:00,1632462240,460.69,460.69,460.69,460.69,0.0,0.0,0
2021-09-24 05:45:00,1632462300,460.69,460.69,460.69,460.69,0.0,0.0,0
